C_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,C_Depth,C_Quartz,C_Tot_K_fs,C_Tot_Plag,C_Tot_Flds,C_Tot_14A,C_Tot_10A,C_Kaolinit,C_Tot_Clay,C_Gibbsite,C_Calcite,C_Dolomite,C_Aragon,C_Tot_Carb,C_Analcime,C_Heuland,C_Tot_Zeol,C_Gypsum,C_Talc,C_Hornbl,C_Serpent,C_Hematite,C_Goethite,C_Pyroxene,C_Pyrite,C_Other,C_Amorph,C_Ag,C_Al,C_As,C_Ba,C_Be,C_Bi,C_C_Tot,C_C_Inorg,C_C_Org,C_Ca,C_Cd,C_Ce,C_Co,C_Cr,C_Cs,C_Cu,C_Fe,C_Ga,C_Hg,C_In,C_K,C_La,C_Li,C_Mg,C_Mn,C_Mo,C_Na,C_Nb,C_Ni,C_P,C_Pb,C_Rb,C_S,C_Sb,C_Sc,C_Se,C_Sn,C_Sr,C_Te,C_Th,C_Ti,C_Tl,C_U,C_V,C_W,C_Y,C_Zn
C-329014,6544,AL,33.0422,-87.5904,02/21/09,Planted/Cultivated,Pasture/Hay,70-100,89.8,1.3,N.D.,1.3,N.D.,7.9,N.D.,7.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,1,<1,2.15,3.2,130,0.4,0.15,0.11,N.D.,0.11,0.02,<0.1,40.3,2.3,12,<5,7,1.2,5.42,0.04,<0.02,0.39,18.3,13,0.09,95,0.5,0.03,9,7.6,200,9.8,30.4,<0.01,0.34,3.7,<0.2,0.8,18,<0.1,7.7,0.27,0.3,2,30,0.6,6.3,25
C-329017,6688,AL,30.6134,-88.2555,02/17/09,Developed,Low Intensity Residential,35-100,80.9,0.9,N.D.,0.9,N.D.,3.1,7,10,6.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.3,N.D.,N.D.,N.D.,1.5,<1,4.23,5.6,49,0.3,0.22,0.15,N.D.,0.15,0.04,<0.1,38.6,1.7,24,<5,13.3,2.07,9.08,0.02,0.04,0.13,14.5,17,0.07,48,1.47,0.01,11.6,14.1,100,8.3,12.4,<0.01,0.6,5.6,0.3,1.3,10.3,<0.1,9.8,0.37,0.2,2,57,1,7.1,17
C-328888,6800,AL,32.8959,-86.3391,02/23/09,Forested Upland,Evergreen Forest,40-100,76.5,N.D.,N.D.,N.D.,N.D.,12.9,9.5,22.4,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,1.1,<1,6.46,0.7,757,2.2,0.08,1.44,N.D.,1.44,<0.01,<0.1,43.8,0.4,29,<5,97.4,1.31,15.7,<0.01,0.05,0.83,24.8,7,0.09,20,27.3,0.01,1.2,50.7,670,19.6,40.7,0.02,0.05,9.2,4.9,1.2,58,<0.1,7.3,0.09,0.6,28.7,436,0.3,28.5,33
C-328895,6864,AL,32.5015,-85.1717,02/19/09,Developed,Low Intensity Residential,60-100,65.1,1.2,N.D.,1.2,N.D.,N.D.,23.1,23.1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,10.6,<1,6.99,2.3,451,1,0.25,0.12,N.D.,0.12,<0.01,<0.1,41.4,2.9,14,<5,8.6,3.19,15.1,0.05,0.04,0.68,22.6,12,0.1,51,1.13,0.02,9.6,8.7,80,12.3,35.6,0.02,0.37,4.4,0.9,1.8,17.6,<0.1,17.6,0.28,0.4,3.5,57,0.8,8.2,23
C-328893,6944,AL,31.9466,-87.2578,02/20/09,Developed,Low Intensity Residential,60-100,80.8,N.D.,N.D.,N.D.,N.D.,3.2,9.6,12.9,3.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,3,<1,4.35,5.1,118,0.8,0.2,0.13,N.D.,0.13,0.05,<0.1,39.3,3.2,23,<5,13.9,1.92,8.85,0.06,0.04,0.27,13,19,0.15,105,1.22,<0.01,8.6,20.8,130,12.9,36.4,<0.01,0.52,5.7,0.3,1.3,18.3,<0.1,8.6,0.3,0.4,2.2,54,0.6,4.8,66
C-328822,7056,AL,34.0191,-87.8219,02/25/09,Developed,Low Intensity Residential,80-100,89.8,N.D.,N.D.,N.D.,N.D.,9.8,N.D.,9.8,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.4,<1,2.37,3,119,0.5,0.13,0.09,N.D.,0.09,0.01,<0.1,32.4,3.3,15,<5,7.3,1.39,6.1,0.05,0.02,0.22,13,14,0.11,84,0.63,<0.01,5.3,10.2,110,9.3,22.5,0.01,0.43,3.5,<0.2,2.2,17.3,<0.1,4,0.16,0.2,1.3,34,0.7,6.1,28
C-328886,7264,AL,31.8158,-88.3121,02/20/09,Developed,Low Intensity Residential,50-100,77,N.D.,N.D.,N.D.,N.D.,13.9,N.D.,13.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,9.1,<1,3.89,7.3,113,0.7,0.23,0.11,N.D.,0.11,0.04,<0.1,106,4.6,38,<5,7.8,3.3,10.9,0.04,0.06,0.36,45.2,16,0.17,127,4.07,0.02,13.3,14,110,13.3,31.2,<0.01,0.52,6.8,0.7,1.8,20.6,<0.1,14.8,0.55,0.2,3.2,54,0.8,12.8,47
C-329023,7568,AL,33.2574,-87.9498,02/21/09,Planted/Cultivated,Fallow,70-100,76.5,0.4,N.D.,0.4,N.D.,7.9,8.8,16.7,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,6.5,<1,3.71,5,190,0.9,0.18,0.16,N.D.,0.16,0.01,<0.1,67.5,3.4,26,<5,10.6,2.07,10,0.03,0.04,0.56,27.3,15,0.13,82,0.73,0.04,12.8,10.5,160,14,41.7,0.01,0.43,7,0.2,1.4,21.7,<0.1,11.8,0.38,0.4,3.1,57,0.8,14.2,27
C-328897,7632,AL,34.0777,-85.9159,02/24/09,Forested Upland,Evergreen Forest,90-100,73.4,N.D.,N.D.,N.D.,N.D.,9.9,8.2,18.1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,4.2,N.D.,N.D.,N.D.,4.2,<1,4.84,10.2,112,0.8,0.3,0.11,N.D.,0.11,0.02,<0.1,41.5,3.8,40,<5,13.7,4.41,13.4,0.13,0.05,0.6,23.3,36,0.23,115,1.19,0.03,15,15.5,210,15.4,62.7,0.02,0.61,7.7,0.8,2,33.5,<0.1,13.5,0.46,0.5,4,84,1,12,46
C-328955,7712,AL,30.9918,-88.2476,02/17/09,Developed,Low Intensity Residential,80-100,80,N.D.,N.D.,N.D.,N.D.,3.9,10.3,14.1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,5.9,<1,4.05,1.1,76,0.4,0.17,0.1,N.D.,0.1,<0.01,<0.1,50.2,1.5,15,<5,8.1,0.58,8.82,<0.01,0.04,0.19,23.7,11,0.08,24,0.65,<0.01,7.8,8.8,60,13.6,16.2,<0.01,0.44,5.6,<0.2,1.5,16.6,<0.1,9.4,0.28,0.2,1.6,48,0.5,8,12
C-328898,7888,AL,33.2072,-86.0474,02/23/09,Forested Upland,Evergreen Forest,60-100,71,N.D.,N.D.,N.D.,N.D.,5.3,7.3,12.6,13.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,2.9,N.D.,N.D.,N.D.,N.D.,<1,7.26,9.8,92,0.5,0.41,0.26,N.D.,0.26,<0.01,<0.1,39.6,2.8,45,6,16.1,3.48,16,0.13,0.07,0.2,18.1,33,0.14,60,2.51,<0.01,16.2,14.8,230,18.3,27.5,0.03,1.14,7.8,0.8,2.4,24.8,0.1,14.4,0.44,0.4,3.6,99,1.5,8.6,42
C-328946,7916,AL,34.6962,-86.121,02/25/09,Planted/Cultivated,Pasture/Hay,90-110,72.3,0.9,N.D.,0.9,6.1,9.8,N.D.,15.8,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,10.9,<1,4.54,7,253,1.4,0.24,0.26,N.D.,0.26,0.14,0.2,82.3,15.4,50,<5,15.9,2.36,10.1,0.03,0.04,0.81,37.7,50,0.33,1890,1.55,0.07,15.3,23.5,480,25.7,70.4,<0.01,0.81,9,0.3,1.8,49,<0.1,12.7,0.48,0.7,4.5,71,1.4,22.4,107
C-328838,7968,AL,32.0475,-86.7708,02/20/09,Developed,Low Intensity Residential,60-80,17.6,N.D.,N.D.,N.D.,N.D.,9.3,14,23.3,N.D.,44.1,N.D.,N.D.,44.1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,15,<1,6.05,8.2,260,1.6,0.11,5.09,5.3,N.D.,17.2,0.4,42.1,7.4,54,<5,16.5,2.86,13.8,<0.01,0.05,1.16,19.1,103,0.51,130,4,0.1,9.5,23,960,11.8,56.3,0.02,0.32,9.3,<0.2,1.8,359,<0.1,6.9,0.3,0.5,2.6,65,0.6,8.8,75
C-328830,8080,AL,33.7451,-86.4163,02/24/09,Planted/Cultivated,Pasture/Hay,25-55,80.2,N.D.,N.D.,N.D.,N.D.,N.D.,9,9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,3.1,N.D.,N.D.,N.D.,7.8,<1,3.51,14.2,90,0.8,0.16,0.28,N.D.,0.28,0.08,<0.1,27,3,53,<5,9.8,3.67,9.86,0.05,0.04,0.27,14.1,23,0.13,117,2.44,<0.01,7.1,13.3,200,10.1,32.6,<0.01,0.79,4.8,1.5,1.3,21.7,<0.1,5.9,0.2,0.3,2,64,0.9,7.7,59
C-328849,8400,AL,34.1757,-86.8882,02/26/09,Planted/Cultivated,Pasture/Hay,60-100,40.8,N.D.,N.D.,N.D.,N.D.,29.2,21.7,50.9,8.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,9.29,13.5,465,2.5,0.38,0.39,N.D.,0.39,0.04,<0.1,90.2,4.9,92,10,21.2,4.88,32.1,0.07,0.12,1.99,46,67,0.36,58,1.35,0.08,19.1,18.2,320,23.4,153,0.01,0.99,19.1,0.9,4.3,77,<0.1,16.8,0.49,0.9,3.6,149,2,17.8,38
C-328833,8480,AL,31.1129,-85.2917,02/19/09,Developed,Low Intensity Residential,85-100,57.8,N.D.,N.D.,N.D.,N.D.,4.6,27.5,32.1,1.7,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,8.4,<1,8.28,4.3,29,0.5,0.29,0.13,N.D.,0.13,0.02,<0.1,16.1,2.1,39,<5,9.3,3.16,25.3,0.01,0.08,0.06,9.9,6,0.03,25,1.76,<0.01,19.8,10,100,11.2,5.2,0.03,0.61,9.4,0.6,3.2,8.2,<0.1,10.1,0.5,<0.1,1.4,104,1.6,3.3,14
C-329006,8848,AL,33.34,-87.1178,02/22/09,Forested Upland,Evergreen Forest,80-100,67.6,N.D.,N.D.,N.D.,N.D.,13.3,10,23.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,9.2,<1,6.02,5.2,299,1.6,0.17,0.14,N.D.,0.14,<0.01,<0.1,48.9,2.9,20,<5,10.5,2.4,12.3,0.02,0.04,1.39,22.5,17,0.2,45,0.87,0.03,7.3,15.3,260,12.4,69.1,<0.01,0.59,9.7,0.4,1.6,30.8,<0.1,9.9,0.26,0.5,2.6,79,0.8,8.1,25
C-328962,8912,AL,32.565,-86.2313,02/23/09,Planted/Cultivated,Fallow,70-100,64.5,N.D.,N.D.,N.D.,N.D.,11.8,9.4,21.3,0.6,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,13.7,<1,6.28,4.4,273,1,0.2,0.13,N.D.,0.13,0.02,<0.1,49.2,5.8,37,<5,15.9,3.56,14.5,0.03,0.05,0.96,24.9,33,0.24,172,1.15,0.06,10.7,20.4,250,14.9,68.2,0.01,0.33,10.5,0.5,1.9,30.7,<0.1,12.2,0.4,0.6,3.1,71,0.7,7.7,65
C-328839,9104,AL,34.6482,-87.9884,02/25/09,Forested Upland,Deciduous Forest,60-100,86,1.7,N.D.,1.7,N.D.,10.9,N.D.,10.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,1.4,<1,2.23,2.9,200,0.4,0.12,0.31,N.D.,0.31,0.02,<0.1,47.4,5.7,23,<5,5.6,1.14,5.85,0.04,0.03,0.53,21.4,14,0.09,124,0.38,0.09,1.6,6.4,70,13,31.7,<0.01,0.23,4,<0.2,0.9,25.6,<0.1,6.7,0.32,0.3,2.1,32,<0.1,9.2,19
C-328853,9196,AL,34.9865,-86.6495,02/25/09,Developed,Low Intensity Residential,60-80,78.4,N.D.,N.D.,N.D.,8.8,4.9,8,21.7,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,4.96,5.4,104,0.7,0.29,0.15,N.D.,0.15,0.08,<0.1,32.6,3.3,45,<5,12.8,3.3,12.6,0.11,0.05,0.26,18.4,34,0.16,71,1.98,0.01,18,12.5,110,11.6,27.3,0.01,0.92,5.3,0.5,2.5,22.2,<0.1,8.4,0.57,0.4,2.5,80,1.7,7.8,30
C-328850,9312,AL,31.2839,-87.7323,02/18/09,Developed,Low Intensity Residential,70-100,80,N.D.,N.D.,N.D.,N.D.,6.8,9.9,16.7,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,3.3,<1,4.04,2.6,169,0.7,0.2,0.19,N.D.,0.19,<0.01,<0.1,49.2,3.8,29,<5,7.7,1.84,11.6,0.02,0.05,0.32,25.2,20,0.11,99,0.79,0.02,8.1,7.8,80,14.2,31.3,0.01,0.35,5.9,0.3,1.8,19.6,<0.1,8.5,0.42,0.4,2.2,55,0.4,9.1,27
C-328964,9424,AL,34.5908,-87.3118,02/26/09,Forested Upland,Mixed Forest,90-100,69.7,N.D.,N.D.,N.D.,N.D.,6.4,16.3,22.7,5.1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,2.5,<1,6.06,3.9,81,0.6,0.23,0.2,N.D.,0.2,<0.01,<0.1,30.5,1.8,43,<5,7,2.01,12.7,0.05,0.04,0.43,20.2,23,0.18,23,0.87,<0.01,10.2,13.4,110,9.8,31.3,<0.01,0.48,7.9,0.5,1.7,27,<0.1,11.3,0.33,0.3,2.4,70,0.8,10.1,19
C-329016,9504,AL,31.5891,-85.3026,02/19/09,Planted/Cultivated,Pasture/Hay,70-100,96.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,3.8,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.91,1.7,29,0.2,0.08,0.12,N.D.,0.12,0.02,<0.1,35.9,0.9,6,<5,3.4,0.48,2.16,0.02,<0.02,0.06,14.3,7,0.04,28,0.43,<0.01,4.8,4.2,110,5,7.9,<0.01,0.18,1.5,<0.2,0.5,5.2,<0.1,5.1,0.17,<0.1,1,15,0.4,4.2,10
C-328956,9568,AL,32.1291,-88.2593,02/20/09,Developed,Low Intensity Residential,80-100,52.8,N.D.,N.D.,N.D.,N.D.,22.9,24.3,47.2,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,9.17,6.3,372,1.3,0.33,0.16,N.D.,0.16,<0.01,<0.1,48,2.9,65,6,22.2,4.03,20.5,0.08,0.07,1.31,25.3,28,0.48,60,2.07,0.07,12.7,10.7,160,18.7,70.6,<0.01,1.02,16.3,2.3,2.3,39.8,<0.1,12.9,0.41,0.7,4.7,132,1.6,10.2,29
C-328884,9680,AL,34.5426,-85.8749,02/24/09,Planted/Cultivated,Pasture/Hay,90-110,94.2,N.D.,N.D.,N.D.,N.D.,5.8,N.D.,5.8,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,1.01,1.7,38,0.1,0.07,0.06,N.D.,0.06,<0.01,<0.1,21.2,0.9,9,<5,3.7,0.65,2.67,0.02,<0.02,0.12,8.6,10,0.03,25,0.28,<0.01,4.5,3.4,70,3.7,11.4,<0.01,0.27,1.6,<0.2,0.5,10.3,<0.1,2.8,0.17,<0.1,0.8,16,0.3,2.8,6
C-329024,9872,AL,33.5162,-86.2427,02/24/09,Planted/Cultivated,Pasture/Hay,70-100,71.2,N.D.,N.D.,N.D.,3.9,2.7,14.9,21.5,N.D.,N.D.,0.3,N.D.,0.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,3.6,N.D.,N.D.,N.D.,3.6,<1,5.37,11.4,50,0.4,0.54,0.13,N.D.,0.13,0.03,<0.1,28.2,1.9,50,<5,18.3,4.67,16.8,0.08,0.07,0.18,16.7,15,0.11,36,4.5,0.01,15.4,17.7,170,14.6,16.9,0.02,1.51,6.1,0.8,2.3,15.9,0.2,14.3,0.37,0.4,2.9,122,1.7,4.8,31
C-328891,9936,AL,33.0774,-85.5152,02/23/09,Developed,Low Intensity Residential,20-100,7.4,N.D.,N.D.,N.D.,N.D.,N.D.,59.5,59.5,N.D.,N.D.,N.D.,N.D.,N.D.,3.2,N.D.,3.2,N.D.,N.D.,N.D.,N.D.,N.D.,1.3,N.D.,N.D.,20.8,7.9,<1,12.8,2.2,3050,4.8,0.11,0.29,N.D.,0.29,0.24,<0.1,519,34.8,74,<5,109,9.53,35.2,0.05,0.15,1.38,281,10,1.71,829,0.7,<0.01,38,58.9,4410,24.2,75.8,0.02,0.31,40.7,0.7,4.7,909,<0.1,26,1.23,0.7,3.9,250,0.8,32.4,106
C-328825,10016,AL,31.4153,-87.4535,02/18/09,Planted/Cultivated,Pasture/Hay,20-100,72,N.D.,N.D.,N.D.,N.D.,3.6,13.4,17,7.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.2,N.D.,N.D.,N.D.,3.5,<1,6.5,7.4,96,0.8,0.27,0.18,N.D.,0.18,0.02,<0.1,51,3.4,36,<5,17.8,2.71,16.2,0.04,0.06,0.21,14.2,26,0.11,95,1.9,<0.01,15.8,24.5,150,13.6,24.6,0.02,0.93,6.9,0.4,2.2,13,<0.1,9.1,0.42,0.3,2.1,76,1.4,7.9,38
C-329025,10128,AL,33.9728,-87.7726,02/25/09,Developed,Low Intensity Residential,60-100,65,N.D.,N.D.,N.D.,N.D.,15.3,16.3,31.6,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,3.4,<1,7.31,3.6,246,1.6,0.26,0.13,N.D.,0.13,0.02,<0.1,63.2,3.6,30,<5,13.5,2.24,19.2,0.02,0.06,1.1,32.3,25,0.25,70,0.59,0.06,16.3,10.5,100,18.2,69.3,<0.01,0.55,9.4,0.4,2.5,33.5,<0.1,16.5,0.45,0.6,3,69,1.2,13.6,25
C-328831,10528,AL,31.8651,-85.7223,02/19/09,Developed,Low Intensity Residential,80-100,87.8,N.D.,N.D.,N.D.,N.D.,3,8,11,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,1.2,<1,2.42,4.9,42,0.3,0.1,0.08,N.D.,0.08,<0.01,<0.1,24.7,0.8,15,<5,5.2,2.56,7.57,0.01,0.03,0.08,13.1,5,0.02,26,1.58,<0.01,4.3,5.2,130,6.3,5.5,<0.01,0.33,5.5,0.6,0.9,5.1,<0.1,7.4,0.15,<0.1,1.6,40,0.3,2.1,8
C-329015,10640,AL,33.1401,-88.1242,02/21/09,Planted/Cultivated,Pasture/Hay,50-100,80.6,0.3,N.D.,0.3,N.D.,16.2,N.D.,16.2,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,2.9,<1,3.48,3.8,168,0.6,0.17,0.15,N.D.,0.15,0.02,<0.1,36.7,2.6,24,<5,7.6,2.2,8.89,0.04,0.04,0.49,18.3,13,0.21,71,0.69,0.03,11.2,7.1,110,11.2,33.8,0.01,0.3,5.5,0.3,1.2,23.4,<0.1,8.8,0.31,0.3,2,52,0.6,6.3,22
C-328851,10704,AL,33.5706,-85.9403,02/24/09,Planted/Cultivated,Pasture/Hay,70-100,72.9,0.3,N.D.,0.3,N.D.,8.4,9.7,18,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,2.2,N.D.,N.D.,N.D.,6.6,<1,4.69,10.7,110,1,0.19,0.13,N.D.,0.13,<0.01,<0.1,53.4,7.3,34,<5,17.7,3.2,13.7,0.05,0.05,0.67,23,25,0.26,124,2.52,<0.01,10.2,17.9,200,16.2,64.7,0.01,0.62,6.3,0.5,1.9,15,<0.1,7.6,0.28,0.5,3,64,0.9,7.2,53
C-328829,10784,AL,30.5495,-88.3765,02/17/09,Planted/Cultivated,Pasture/Hay,40-100,88.6,0.2,N.D.,0.2,N.D.,3.4,N.D.,3.4,7,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.9,<1,2.62,3.2,61,0.3,0.15,0.12,N.D.,0.12,<0.01,<0.1,40.1,1.7,22,<5,9.8,1.27,7.06,0.03,0.03,0.13,16.8,17,0.07,42,0.68,<0.01,2,8.9,60,8,14.1,0.02,0.33,4.3,0.3,1.6,8.9,<0.1,6.4,0.32,0.2,1.5,39,<0.1,8,14
C-328892,10896,AL,32.589,-86.5488,02/23/09,Forested Upland,Evergreen Forest,60-100,93,0.6,N.D.,0.6,N.D.,6.4,N.D.,6.4,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.79,0.8,68,0.2,<0.04,0.18,N.D.,0.18,<0.01,<0.1,27.2,0.9,3,<5,1.9,0.35,1.81,0.02,<0.02,0.13,9.9,3,0.04,86,0.18,<0.01,1.8,2.9,80,4.5,10,<0.01,0.08,1.1,<0.2,0.2,7.4,<0.1,3.8,0.08,<0.1,0.6,10,0.1,3.2,9
C-328834,10960,AL,32.1989,-85.0352,02/19/09,Developed,Low Intensity Residential,50-100,67.8,N.D.,N.D.,N.D.,2.1,6.9,16.7,25.7,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,6.5,<1,5.84,4.4,162,0.9,0.14,0.17,N.D.,0.17,0.01,<0.1,81.1,2.2,25,<5,6.2,2.61,16.8,0.04,0.05,0.46,38.5,11,0.22,65,2.03,0.03,9.8,8.8,170,16.4,27.4,<0.01,0.24,7.3,1,1.7,22.4,<0.1,14.3,0.32,0.2,2.7,62,0.6,5.5,20
C-328826,11040,AL,32.0299,-87.6585,02/20/09,Planted/Cultivated,Pasture/Hay,70-100,82,N.D.,N.D.,N.D.,N.D.,11.5,N.D.,11.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,6.6,<1,2.89,3.2,170,0.5,0.14,0.3,N.D.,0.3,0.08,<0.1,43.4,3.9,28,<5,7.1,1.56,7.72,0.04,0.03,0.32,20.2,17,0.11,124,0.6,0.02,3.1,9.6,100,10.9,36.2,<0.01,0.32,4.3,0.2,1.2,20.5,<0.1,6.3,0.35,0.3,1.9,44,0.1,8.2,31
C-328828,11152,AL,34.4221,-86.1854,02/24/09,Developed,Low Intensity Residential,70-100,79.1,N.D.,N.D.,N.D.,N.D.,8.8,9.9,18.7,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,2.2,<1,3.94,8.2,140,0.9,0.19,0.12,N.D.,0.12,0.06,<0.1,36.2,4,40,<5,10.9,2.8,11.2,0.05,0.05,0.66,19.3,37,0.24,156,1.78,0.02,10,18,160,11.7,65.6,<0.01,0.82,6.8,0.3,1.8,36.3,<0.1,7,0.31,0.4,2.9,71,0.9,8.3,60
C-329007,11664,AL,33.5529,-88.1652,02/21/09,Developed,Low Intensity Residential,70-100,76,0.5,N.D.,0.5,N.D.,12,8.9,20.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,2.7,<1,4.44,4,252,0.8,0.18,0.16,N.D.,0.16,0.02,<0.1,58.9,3.4,27,<5,10,2.61,10.5,0.03,0.04,0.82,27.2,15,0.2,110,0.57,0.05,17.3,8.6,130,14.3,57.1,0.01,0.3,7.3,0.3,1.5,32.4,<0.1,12.7,0.41,0.4,2.8,55,0.8,11.4,29
C-328847,12064,AL,31.5975,-86.5142,02/18/09,Developed,Low Intensity Residential,10-100,92.7,1.2,N.D.,1.2,N.D.,5.9,N.D.,5.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.3,<1,1.3,1.2,75,0.2,0.11,0.06,N.D.,0.06,<0.01,<0.1,41.4,0.8,10,<5,2.3,0.56,4.25,0.02,<0.02,0.17,20.9,8,0.06,44,0.09,<0.01,0.7,2.2,<50,6.5,11.8,<0.01,0.12,2.1,<0.2,0.8,10.9,<0.1,6.5,0.24,0.1,1.4,20,<0.1,5.4,8
